iso3c,year,cap_form,cpi_harm,current_account_GDP_ameco,nulc_eur,nulc_lcu,population_ameco,rulc,unemp_rate,wage_share,sect_balance_gvnt,sect_balance_foreign,sect_balance_priv_corp,sect_balance_priv_HH,sect_balance_priv,school_agv_yrs,school_share_sec,school_share_ter,chinn_ito,chinn_ito_normed,eci_mit,eci_mit_plus,eci_harv_hs,eci_harc_coi_hs,eci_harv_sitc,eci_harc_coi_sitc,bond_yield,kof_G,kof_G_df,kof_G_dj,kof_EcG,kof_EcG_df,kof_EcG_dj,kof_trade,kof_trade_df,kof_trade_dj,kof_fin,kof_fin_df,kof_fin_dj,lmf_port_eq_asst_stock,lmf_port_eq_liab_stock,lmf_port_dbt_asst,lmf_port_dbt_liab,lmf_fdi_asst_stock,lmf_fdi_asst_other,lmf_fdi_liab_stock,lmf_fdi_liab_other,lmf_debt_asst_stock,lmf_debt_liab_stock,lmf_nfa,lmf_nfa_gdp,debt_corp_nf_percGDP,debt_corp_f_percGDP,debt_gen_gov_percGDP,debt_hh_npish_percGDI,total_debt_percGDP,debt_gen_gvt_gross,interest_long_term,average_wages,gini_post_tax,gini_pre_tax,fdi_net_inflow_GDP,fdi_net_outflow_GDP,tax_rev_total_GDP,tax_rev_trade_TAX,tax_rev_inc_profits_TAX,trade_total_GDP,trade_exp_GDP,trade_imp_GDP,RD_expend_GDP,RD_scientists,wgi_accountability,wgi_regul_quality,wgi_rule_of_law,wgi_pol_stability,wgi_gov_effectvn,wgi_control_corrupt,empl_ind,empl_agr,empl_serv,empl_self,unemp_youth_neet,VA_industry_gdp,VA_manufct_gdp,current_account_GDP_WB,population,res_rents,gdp_real_lcu,gdp_real_lcu_growth,gdp_real_pc_lcu,gdp_real_pc_lcu_growth,gdp_real_usd,gdp_real_pc_usd,gdp_nom_lcu,gdp_nom_pc_lcu,gdp_nom_usd,gdp_nom_pc_usd,gdp_real_ppp,gdp_real_pc_ppp,gdp_nom_ppp,gdp_nom_pc_ppp,unemp_rate_wb,labor_force_total,cpi_wb,cpi_change_wb,interest_real,sect_agric_employees_abs,sect_mining_employees_abs,sect_manufact_employees_abs,sect_ict_employees_abs,sect_finance_employees_abs,sect_agric_employees_share_indus,sect_mining_employees_share_indus,sect_manufact_employees_share_indus,sect_ict_employees_share_indus,sect_finance_employees_share_indus,sect_total_employees,sect_agric_engaged_abs,sect_mining_engaged_abs,sect_manufact_engaged_abs,sect_ict_engaged_abs,sect_finance_engaged_abs,sect_agric_engaged_share_indus,sect_mining_engaged_share_indus,sect_manufact_engaged_share_indus,sect_ict_engaged_share_indus,sect_finance_engaged_share_indus,sect_total_engaged,sect_agric_GO_abs,sect_mining_GO_abs,sect_manufact_GO_abs,sect_ict_GO_abs,sect_finance_GO_abs,sect_agric_GO_share_indus,sect_mining_GO_share_indus,sect_manufact_GO_share_indus,sect_ict_GO_share_indus,sect_finance_GO_share_indus,sect_total_GO,sect_agric_VA_abs,sect_mining_VA_abs,sect_manufact_VA_abs,sect_ict_VA_abs,sect_finance_VA_abs,sect_agric_VA_share_indus,sect_mining_VA_share_indus,sect_manufact_VA_share_indus,sect_ict_VA_share_indus,sect_finance_VA_share_indus,sect_total_VA
AUT,1950,,,,,,,,,,,,,,,5.97,2.05,1.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUT,1955,,,,,,,,,,,,,,,5.78,2.22,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUT,1960,1.65763,,-1.0743446,10.6005481,21.1555365,7047.44,117.0661473,1.9,63.8707835,,,,,,5.86,4.25,1.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUT,1961,1.91024,,-0.237924,10.9812421,22.1461926,7086.3,116.3184552,1.4,63.4628459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUT,1962,1.99518,,1.7019726,11.5529,23.3530232,7129.86,118.1454127,1.5,64.459626,,-1.7019726,,,,,,,,,,,,,2.0183911,2.5286412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.6180901534569,23.4163731876468,22.2017169658101,,,,,,,,,,,,,,,,,7129864,,75119245431.83,2.64867511295262,10535.8595103399,2.02146966677641,99489765786.6089,13953.9500033393,14655121408,2055.45595371805,7756110210.11966,1087.8342434189,,,,,,,19.2642252233401,4.38178085363524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUT,1963,2.16986,,0.7098706,11.9059816,24.0667422,7175.81,117.5740298,1.6,64.147882,,-0.7098706,,,,,,,,,,,,,2.0203443,2.3845847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.2846929359315,23.4268110207149,22.8578819152166,,,,,,,,,,,,,,,,,7175811,,78227880813.0557,4.13826758157036,10901.6083078353,3.47146615932409,103606918511.136,14438.3566555943,15822951424,2205.04015838767,8374175257.73075,1167.00053244585,,,,,,,19.7860497950297,2.70877528496362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUT,1964,2.41176,,0.066158,12.2570824,24.7764571,7223.8,117.2257808,1.5,63.9578788,,-0.066158,,,,,,,,,2.03892,1.70932,,,2.0088508,1.2885326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.9855812470221,23.3993989196795,23.5861823273426,,,,,,,,,,,,,,,,,7223801,,83018832955.4975,6.12435373762833,11492.4030929835,5.41933601415161,109952172697.415,15220.8197176825,17326626816,2398.54708289999,9169983885.71185,1269.41258289256,,,,,,,20.5514879303747,3.86857479524453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUT,1965,2.71284,,-0.5192908,12.9224332,26.1213404,7270.89,116.9303506,1.5,63.7966934,,0.5192908,,,,6.69,11.79,1.31,,,2.06916,1.73877,,,2.0231051,2.3649628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.2393149536368,23.7702933429408,24.469021610696,,,,,,,,,,,,,,,,,7270889,,85908033557.2274,3.48017491799561,11815.3410892708,2.81001278561557,113778700633.421,15648.5266978249,18883733504,2597.16982393762,9994070615.85997,1374.53213986075,,,,,,,21.5648625805576,4.93090648042644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUT,1966,3.00906,,-1.2400849,13.2411767,26.765743,7322.07,116.1871888,1.4,63.3912276,,1.2400849,,,,,,,,,1.99344,1.69556,,,1.8695266,1.9410862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.9255425298678,23.708681403716,25.2168611261517,,,,,,,,,,,,,,,,,7322066,,90755704831.7193,5.64286141093268,12394.8220122189,4.90447900377775,120199075025.325,16416.0054041203,20572207104,2809.61781879595,10887682273.1014,1486.96860600566,,,,,,,22.0079812174919,2.05481780966135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUT,1967,3.07454,,-0.7038062,13.8957501,27.9577628,7377,117.5440748,1.4,64.1315387,,0.7038062,,,,,,,,,2.0393,1.68331,,,1.9654906,1.9064441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.3085412151414,23.7042547228676,24.6042864922738,,,,,,,,,,,,,,,,,7376998,,93485679812.2468,3.00804779775493,12672.5911830594,2.24100975848391,123814720654.546,16783.8896871799,21879263232,2965.8762591504,11579431668.9165,1569.66718289967,,,,,,,22.8827262848889,3.97467200081807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
