iso3c,year,unemp_rate,population,GDPgrowth,GDP2019,gdp_real_pc_ppp,fiscalbalance,NAWRU,primaryfiscalbalance,outputgap,potentialoutput,publicdebt,domesticdemand,exportsgoodsandservices,exportsgoods,exportsservices
AUT,1950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AUT,1955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AUT,1960,1.9,7047.539,NA,20.52172126,1073.91,NA,NA,NA,NA,NA,NA,22.70684355,3.9575068,NA,NA
AUT,1961,1.4,7086.299,5.312028173,21.61184088,1162.47,NA,NA,NA,NA,NA,NA,23.76439835,4.180966905,NA,NA
AUT,1962,1.5,7129.864,2.397505557,22.12998596,1231.28,NA,NA,NA,NA,NA,NA,24.05379878,4.591828674,NA,NA
AUT,1963,1.6,7175.811,4.079038609,23.03267663,1325.67,NA,NA,NA,NA,NA,NA,25.15543351,4.919653802,NA,NA
AUT,1964,1.5,7223.801,6.0377341,24.4233284,1457.92,NA,NA,NA,NA,NA,NA,27.00024585,5.190185041,NA,NA
AUT,1965,1.5,7270.889,2.85801079,25.12134977,1557.12,NA,1.170214,NA,-1.6372227,NA,NA,28.00183368,5.560434597,NA,NA
AUT,1966,1.4,7322.066,5.64303486,26.53895629,1699.11,NA,1.170214,NA,-0.5013297,NA,NA,29.85498093,5.934401518,NA,NA
AUT,1967,1.4,7376.998,3.00768287,27.33716393,1790.52,NA,1.170214,NA,-1.7404138,NA,NA,30.47665903,6.279744729,NA,NA
AUT,1968,1.5,7415.403,4.472391195,28.55978885,1917.5,NA,1.135304,NA,-1.4837531,NA,NA,31.74622265,6.810677388,NA,NA
AUT,1969,1.6,7441.055,6.276088852,30.35222657,2138.79,NA,1.095086,NA,0.4724368,NA,NA,32.99078153,8.009202337,NA,NA
AUT,1970,1.1,7467.086,7.12289766,32.51418461,2447.76,NA,1.0398,NA,2.9441238,NA,NA,35.33101765,9.330493266,NA,NA
AUT,1971,1,7500.482,5.113135951,34.17667907,2741.79,NA,0.985951,NA,2.9799716,NA,NA,37.12422626,9.92843143,NA,NA
AUT,1972,0.9,7544.201,6.207837377,36.29831173,3076.1,NA,0.936384,NA,3.6302481,NA,NA,39.63535602,10.93565148,NA,NA
AUT,1973,0.8,7586.115,4.887269733,38.07230813,3501.17,NA,0.902755,NA,3.2584304,NA,NA,42.05354313,11.53061575,NA,NA
AUT,1974,1,7599.038,3.943775906,39.57379464,4125.54,NA,0.900116,NA,2.5724398,NA,NA,43.26574131,12.76566381,NA,NA
AUT,1975,1.3,7578.903,-0.36227828,39.43042738,4669.44,NA,0.931278,NA,-1.3104611,NA,NA,42.79686059,12.4593994,NA,NA
AUT,1976,1.4,7565.525,4.576958116,41.23514153,5371.66,NA,1.004601,NA,-0.128871,NA,NA,45.57680523,13.83733368,10.83497709,23.7152347
AUT,1977,1.5,7568.43,5.079966267,43.32987281,6079.11,NA,1.124746,NA,1.6051648,NA,NA,48.79612276,14.16864384,11.21564411,23.74529074
AUT,1978,1.5,7562.305,-0.21064574,43.23860027,6467.21,NA,1.288953,NA,-1.188442,NA,NA,47.10497485,15.40536472,12.18654924,25.8514207
AUT,1979,1.4,7549.425,5.356696472,45.55476085,7475.15,NA,1.492947,NA,1.6329422,NA,NA,50.61864341,17.14992412,13.71125965,28.19553893
AUT,1980,1.7,7549.433,1.731513475,46.34354767,8461.53,NA,1.740574,NA,1.0989052,53.39186576,NA,51.34241018,17.78131857,14.19127694,29.33236973
AUT,1981,2.6,7568.71,-0.144313108,46.27666786,9322.14,NA,2.013552,NA,-1.1302592,54.51688208,NA,51.05468793,18.64964857,14.95919919,30.4698313
AUT,1982,3.1,7574.14,2.011250314,47.20740749,10298.5,NA,2.271286,NA,-0.8224486,55.44074951,NA,51.02794908,18.6338033,15.3653626,28.80228918
AUT,1983,3.1,7561.91,2.973082831,48.61092281,11146.46,NA,2.500655,NA,0.4837058,56.34696085,NA,52.43962573,18.92896208,15.96976537,27.85489339
AUT,1984,3.3,7561.434,0.051277518,48.63584929,11824.55,NA,2.709974,NA,-1.1932246,57.33265569,NA,52.43503874,20.50391671,17.49480519,29.4286405
AUT,1985,3.6,7564.985,2.498689911,49.85110835,12692.04,NA,2.889517,NA,-0.7236221,58.48723353,NA,53.88928497,22.33992329,19.1589881,31.70029941
AUT,1986,3.8,7569.794,2.30142334,50.99839339,13354.78,NA,3.036058,NA,-0.5721618,59.74212159,NA,54.76517786,21.43465198,18.54305596,29.82752158
AUT,1987,3.7,7574.586,1.357147343,51.69051673,13832.64,NA,3.14612,NA,-1.4884096,61.1161261,NA,55.95270693,22.17022558,19.27573126,30.51220305
AUT,1988,3.4,7585.317,3.295860194,53.3941639,14933.82,NA,3.231231,NA,-0.7833577,62.68182977,NA,58.24628992,24.00084198,21.07220551,32.34781295
AUT,1989,3.2,7619.567,3.887108947,55.46965322,16317.32,NA,3.30742,NA,0.2128374,64.47097003,NA,60.5800371,26.53148469,23.235248,35.95611378
AUT,1990,3.4,7677.85,4.345623368,57.88015543,17663.36,NA,3.383623,NA,1.3996693,66.48525654,NA,63.11555627,28.80581507,25.19932642,39.12894905
AUT,1991,3.6,7754.89,3.441610748,59.87216508,18956.09,NA,3.458089,NA,1.5970593,68.63982816,NA,65.2941007,29.65193382,26.00947912,40.05513532
AUT,1992,3.6,7840.709,2.093542811,61.12561449,19677.02,NA,3.528649,NA,0.7275431,70.68174895,NA,66.79902767,30.04314002,26.68766989,39.55741309
AUT,1993,4,7905.633,0.526810075,61.44763038,19720.93,NA,3.605553,NA,-1.2363998,72.46703471,NA,66.86735716,29.33019588,25.78271279,39.43185898
AUT,1994,4.3,7936.118,2.402131638,62.92368335,20475.98,NA,3.678326,NA,-1.1347194,74.13146328,NA,68.98157173,30.99850283,27.92039065,39.73541545
AUT,1995,4.2,7948.278,2.667952631,64.60245742,19921.55,-6.1339713,3.735155,-2.1370968,-0.6400289,75.73033428,68.3205,70.75315992,33.2320816,31.28117049,38.72801798
AUT,1996,4.6,7959.017,2.349559026,66.12033029,20910.84,-4.5036104,3.787483,-0.5822203,-0.623065,77.49640972,68.2596,72.17697534,34.77353348,32.66298254,40.72114609
AUT,1997,4.6,7968.041,2.093607293,67.50463035,21947.92,-2.5757912,3.819475,1.0246299,-0.9686738,79.3949991,63.4934,73.05194524,38.60832076,37.74486745,40.99242307
AUT,1998,4.4,7976.789,3.581425248,69.92225822,23062.89,-2.6962268,3.838403,0.8804277,-0.0063061,81.44699131,63.859,75.17740355,41.63964607,40.83836343,43.84703656
AUT,1999,3.7,7992.324,3.55633452,72.40892763,24088.1,-2.5958867,3.855137,0.8382758,0.9263525,83.56410591,66.6905,77.31516845,44.31870457,44.0252803,45.09193346
AUT,2000,3.5,8011.566,3.375710468,74.85324338,25749.63,-2.4046696,3.905735,1.1549509,1.680936,85.74391828,66.1242,79.15634476,50.3126304,49.91066382,51.38020424
AUT,2001,3.6,8042.293,1.267164534,75.80175713,25804.22,-0.6615755,3.996448,2.9436833,0.5134678,87.83896277,66.729,79.47793808,53.21617128,52.90770834,54.01866975
AUT,2002,4,8081.957,1.651546822,77.05365864,26784.06,-1.3811749,4.126439,2.0627188,-0.0967508,89.83506475,66.728,79.11939704,55.49714646,55.17260462,56.34189384
AUT,2003,4.3,8121.423,0.941460563,77.77908845,27259.53,-1.7864255,4.277296,1.3936754,-1.3566578,91.83906224,65.8529,80.95190281,55.79211937,55.1996163,57.36496586
AUT,2004,5.5,8171.966,2.735144616,79.906459,28570.97,-4.804986,4.437158,-1.7988411,-0.9404074,93.95449826,65.1894,82.57416183,60.62427569,61.05350816,59.47412351
AUT,2005,5.6,8227.829,2.24407178,81.6996173,29774.8,-2.5083535,4.545165,0.7139426,-0.9841036,96.10527756,68.6425,84.29238421,64.66495854,64.74969398,64.42777083
AUT,2006,5.3,8268.641,3.454021672,84.52153978,31156.19,-2.5354407,4.602692,0.6002663,0.3220434,98.13035045,67.309,86.2814073,69.5640739,69.88382343,68.69820321
AUT,2007,4.9,8295.486,3.727424891,87.6720167,32480.17,-1.3546086,4.629134,1.7802965,2.1158634,100,65.0313,88.63213198,74.8313478,75.76413403,72.29464563
AUT,2008,4.1,8321.496,1.460417499,88.95239417,32652.57,-1.4952653,4.645227,1.4515769,1.9982322,101.5774226,68.6985,89.60552655,76.45569691,76.42763308,76.50121289
AUT,2009,5.3,8343.323,-3.764584178,85.60370641,31133.06,-5.3297097,4.704351,-2.1872178,-2.7999328,102.5789706,79.854,88.08675468,65.47046507,63.712182,70.08002379
AUT,2010,4.8,8363.404,1.837112497,87.1763428,32159.64,-4.4412772,4.752083,-1.5478986,-1.7745071,103.372873,82.6967,88.53574908,74.06742928,75.40790928,70.64752458
AUT,2011,4.6,8391.643,2.922778558,89.72431426,33554.69,-2.5535628,4.817144,0.2308461,0.1907687,104.3073092,82.4444,91.032978,78.46358516,80.15063293,74.13481282
AUT,2012,4.9,8429.991,0.680460489,90.33485276,35135.25,-2.189058,4.900716,0.5239115,-0.0598499,105.2804148,81.9201,91.14446443,79.59166604,80.85880008,76.35965307
AUT,2013,5.4,8479.823,0.025495847,90.3578844,35223.27,-1.9500775,4.988616,0.651835,-1.0066074,106.3144152,81.2662,91.08088975,80.10154912,80.20841157,79.8542109
AUT,2014,5.6,8546.356,0.661275802,90.95539922,35993.19,-2.7291452,5.056043,-0.291944,-1.2950102,107.3301067,84.0475,91.54621834,82.41458657,82.52054535,82.16991309
AUT,2015,5.7,8642.698,1.014489819,91.87813249,37550.15,-1.0099596,5.09009,1.3222762,-1.4579183,108.5982369,84.8942,92.67954252,84.92752532,85.10885706,84.50029638
AUT,2016,6,8736.668,2.082614419,93.79159972,37601.51,-1.535915,5.088963,0.5477978,-0.7306442,110.047715,82.9153,94.74050317,87.53711557,87.39780033,87.87756314
AUT,2017,5.5,8797.566,2.476446837,96.11429883,38058.9,-0.8140601,5.03889,1.0205005,0.3971576,111.5061454,78.2832,96.76658584,91.9328997,92.07543242,91.60705002
AUT,2018,4.9,8840.521,2.419766414,98.44004035,39443.6,0.1752318,4.96506,1.800315,1.4577342,113.0105191,73.9586,98.43051942,97.34282748,97.97794529,95.85829133
AUT,2019,4.5,8878.433,1.584680017,100,40593.19,0.7324415,4.889688,2.1533947,1.7245628,114.5002518,70.3665,100,100,100,100
AUT,2020,5.8,8921.081,-5.513127766,94.48687223,38601.65,-6.1472219,4.8404,-4.6958022,-4.8286255,115.6371424,78.8356,95.66520284,87.45208084,87.4399649,87.48000667
AUT,2021,4.9,8963.03,5.005279002,99.21620381,40870.03,-1.8562744,4.754627,-0.5087939,-1.2591169,117.0355795,75.8218,99.73015025,96.48764766,97.05836235,95.17824599
BEL,1950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BEL,1955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BEL,1960,2.2,9153.489,NA,21.7552114,1059.97,NA,NA,NA,NA,NA,NA,23.04378045,5.78324319,5.632624023,7.398478805
BEL,1961,1.8,9183.948,4.974005101,22.83731673,1146.18,NA,NA,NA,NA,NA,NA,24.03714501,6.313289743,6.285321328,7.357291558
BEL,1962,1.7,9220.578,5.181461723,24.02062355,1249.72,NA,NA,NA,NA,NA,NA,25.1166169,6.952294196,7.016069023,7.603927038
BEL,1963,1.5,9289.77,4.404101798,25.07851627,1348.3,NA,NA,NA,NA,NA,NA,26.25415906,7.525063007,7.694795502,7.699867947
BEL,1964,1.4,9378.113,6.94762448,26.8208774,1491.36,NA,NA,NA,NA,NA,NA,28.01602467,8.234607612,8.370922777,8.686312268
BEL,1965,1.6,9463.667,3.586129218,27.78270872,1599.96,NA,1.790215,NA,-0.1728674,NA,NA,29.0699774,8.73471092,8.976797275,8.699976283
BEL,1966,1.7,9527.807,3.106968018,28.6459086,1704.39,NA,1.790215,NA,-2.0406705,NA,NA,30.22779878,9.405810873,9.611337283,9.659092573
BEL,1967,2.4,9580.991,3.868813393,29.75416535,1814.56,NA,1.790215,NA,-3.1243528,NA,NA,31.04969726,9.807583039,9.902596679,10.70029056
BEL,1968,2.8,9618.756,4.172200935,30.99556891,1940.11,NA,1.994159,NA,-3.5522981,NA,NA,32.25764962,11.00442504,11.23921887,11.33059207
BEL,1969,2.2,9646.032,6.623162011,33.04845566,2172.42,NA,2.155422,NA,-1.7049082,NA,NA,34.3845867,12.69066287,13.14276463,12.11149056
BEL,1970,1.8,9655.549,6.192033464,35.09482709,2470.82,NA,2.341728,NA,-0.1224087,NA,NA,36.12429034,13.86183923,14.3155627,13.44051127
BEL,1971,1.7,9673.162,3.752995915,36.41193452,2739.04,NA,2.549307,NA,-0.6273186,NA,NA,37.32502928,14.48631596,15.08518706,13.44695288
BEL,1972,2.2,9711.115,5.255627115,38.32561002,3051.24,NA,2.824971,NA,0.4491055,NA,NA,39.01603102,16.08799709,17.23172128,12.63501755
BEL,1973,2.2,9741.72,6.122313326,40.67202395,3522.19,NA,3.104102,NA,2.4328123,NA,NA,42.32878117,18.36013249,19.69201658,14.29148664
BEL,1974,2.3,9772.419,4.199677289,42.3801177,4154.52,NA,3.449124,NA,2.6297829,NA,NA,44.27756047,19.04046024,19.9828304,16.92893443
BEL,1975,4.2,9800.7,-1.327015832,41.81772683,4630.97,NA,3.987216,NA,-2.2850569,NA,NA,43.4101358,17.46288437,18.06625149,16.77950866
BEL,1976,5.5,9818.227,5.652724039,44.18156753,5363.12,NA,4.574289,NA,-0.1071935,NA,NA,45.80730379,19.70983839,20.62802714,17.79942982
BEL,1977,6.3,9830.358,0.626197848,44.45823156,5807.24,NA,5.284696,NA,-2.240723,NA,NA,46.7982412,20.13162652,20.40754037,21.35929626
BEL,1978,6.8,9839.534,2.841885239,45.72168348,6355.89,NA,6.129654,NA,-1.8960021,NA,NA,48.22554493,20.5917517,21.4125041,19.26099148
BEL,1979,7,9848.382,2.341082374,46.79206575,7117.65,NA,7.016238,NA,-1.7260592,NA,NA,49.98448435,22.03239036,22.87734133,20.76813239
BEL,1980,7.4,9859.242,4.444057935,48.87153226,8262.78,NA,7.858401,NA,0.4296979,57.53057872,NA,51.41364815,21.89685211,22.48913161,21.828948
BEL,1981,9.4,9858.982,-0.279315822,48.73502634,9115.01,NA,8.682775,NA,-0.8151042,58.08991363,NA,49.85083199,22.63948763,22.86664746,24.80009057
BEL,1982,11,9856.303,0.595029379,49.02501406,9939,NA,9.324354,NA,-1.2271514,58.67931287,NA,49.75279304,23.26859172,23.55792438,24.3847045
BEL,1983,10.7,9855.52,0.311826746,49.17788717,10464.56,NA,9.608656,NA,-2.1739212,59.43196029,NA,48.84163421,23.87977827,24.1143026,24.80985058
BEL,1984,10.8,9855.372,2.466367713,50.3907947,11367.25,NA,9.754311,NA,-1.3091071,60.36414073,NA,49.93712079,25.42525865,25.92680195,25.25939669
BEL,1985,10.1,9858.308,1.651808104,51.22315393,12103.61,NA,9.613981,NA,-1.6058045,61.5462708,NA,50.81425407,25.50981536,25.99334158,25.60148508
BEL,1986,10,9861.823,1.822756665,52.15682738,12681.52,NA,9.396758,NA,-1.8163926,62.8025222,NA,52.24564087,26.20811443,26.61247202,26.99911867
BEL,1987,9.8,9870.234,2.306655261,53.35990558,13251.96,NA,9.093587,NA,-1.6601806,64.14909983,NA,53.93217392,27.50963672,27.65033426,28.59214768
BEL,1988,8.8,9901.664,4.723206168,55.88020394,14475.29,NA,8.731232,NA,0.41862,65.78829816,NA,56.65852776,30.15960046,30.3433326,30.29273201
BEL,1989,7.4,9937.697,3.469183812,57.81879093,15766.51,NA,8.362694,NA,1.1989285,67.54572815,NA,59.10222001,32.61812112,32.71974786,34.28028214
BEL,1990,6.6,9967.378,3.13740047,59.63279794,16950.77,NA,8.065407,NA,1.7300389,69.30121249,NA,61.05689707,34.11003726,34.27184408,35.06215663
BEL,1991,6.4,10004.486,1.833063341,60.7259049,18019.46,NA,7.87861,NA,1.3315008,70.8491251,NA,62.08682776,35.15223974,35.05587546,37.98928156
BEL,1992,7.1,10045.158,1.530652779,61.65540765,18730.75,NA,7.84996,NA,0.7548958,72.34525138,NA,63.20397727,36.44122515,36.54989804,38.18477458
BEL,1993,8.5,10084.475,-0.961880204,61.06235649,18575.58,NA,7.987114,NA,-2.1223284,73.75558242,NA,62.62715348,36.28002126,36.23609983,37.96488153
BEL,1994,9.5,10115.603,3.226971224,63.03282116,19459.23,NA,8.168095,NA,-0.9053246,75.20061536,NA,64.15934664,39.30130276,38.93284845,42.55345314
BEL,1995,9.5,10136.811,2.384770829,64.5360095,18869.87,-4.508357,8.310902,4.4901137,-0.4933375,76.67517956,131.2865,65.4994996,41.26319063,43.34187853,34.99373895
BEL,1996,9.5,10156.637,1.321478488,65.38883898,19364.12,-4.0025275,8.451324,4.5705971,-1.1182332,78.17940829,129.0046,66.49111752,43.31609198,45.71495196,36.04801535
BEL,1997,9.3,10181.245,3.793644861,67.86945931,20485.76,-2.1512574,8.483876,5.6635052,0.3154498,79.98553288,124.2707,68.37620099,47.42703318,50.14258492,39.19513093
BEL,1998,9.3,10203.008,1.961840751,69.20095002,21068.99,-1.0248736,8.450247,6.4443105,-0.0896552,81.88539524,119.1859,70.0562465,49.38945912,51.89626799,41.80505549
BEL,1999,8.6,10226.419,3.542734277,71.65255579,22199.35,-0.6483495,8.309533,6.2879167,0.9292252,83.93046187,115.3621,71.85399773,51.78448827,54.00711885,45.08480962
